Problem ID,Problem,Short Answer,Category,Subcategory,Source
general365-176-2,"A research lab has commissioned a square LED matrix display with 17 rows and 17 columns, totaling 289 pixel positions. There are 145 yellow LED bulbs and 144 blue LED bulbs to be installed, one in each position.\nThe requirement is that once the installation is complete, exactly one row is composed entirely of yellow LED bulbs. The total number of installation configurations satisfying this condition is N.\nSelect all correct statements from the options below:\n\nA. N is a multiple of 17\nB. N is a multiple of 277\nC. N is a multiple of 281\nD. N is a multiple of 283\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.",A,General365,single_choice,general365
general365-173,"From the four given options, choose the most appropriate one to fill in the question mark to make it show a certain pattern:\nUNVZW?\nA. Y B. A C. M D. S\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.",D,General365,single_choice,general365
general365-270-9,"When Jack, Ethan, Caleb, and Dylan were born, their mothers were all young and the same age at the time they gave birth. While chatting together, they said:\n\n1) Dylan is the oldest of the kids and runs the fastest.\n2) Ethan is not the youngest, and he is 28 years younger than Jack's mother (in age).\n3) Caleb is older than Jack, and the sum of Caleb's age and Ethan's mother's age is 59.\n4) The absolute difference between Jack's age and Caleb's mother's age 11 years ago is exactly the age Jack's mother was when she gave birth to him.\n\nTheir mothers were talking nearby as well:\nMrs. Foster: My child is the youngest, and her age equals the absolute difference between Ethan's age and Jack's age.\nMrs. Young: My child's age equals Caleb's mother's current age minus 28.\nMrs. Carter: My child is 5 years younger than Dylan.\nMrs. Morgan: All of us mothers are now over 33 years old.\n\nWhich of the following options are correct?\nA. Dylan's mother is the oldest.\nB. Mrs. Young's child is younger than Ethan.\nC. Jack is 10 years old.\nD. Mrs. Young is the youngest mother.\n\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.",A,General365,single_choice,general365
general365-153-3,"Jupiter : Planet\n\nConsidering both the type of relationship and the specific characteristics of Jupiter, which of the following options best fits the analogy?\n\nA. Earth : Solar System\nB. Pluto : Planet\nC. Lake Superior : Lake\nD. Pacific Ocean : Ocean\nE. Star : Celestial Body\nF. Himalayas : Tibet\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.",D,General365,single_choice,general365
general365-240-5,"In a smart, temperature-controlled vegetable greenhouse, there are four workers and one technician. Suddenly, all sprinkler systems activate, and the control panel shows ""low soil moisture,"" even though the soil is actually very wet.\nTo fix the system, who must be the first to leave? (Single choice)\nA. A farm worker who is picking tomatoes\nB. An agricultural IoT specialist\nC. A worker who is packaging vegetables\nD. A worker who is pushing a cart\nE. The greenhouse contractor\nF. A worker who is taking a break\nG. Everyone except B\n\n\n\n\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>\nSelect one or more appropriate options as your final answer based on the question above.",G,General365,single_choice,general365
general365-346-1,"You are a young job seeker looking for employment opportunities.\nOne day, you come across a group of people who say:""Join us-we guarantee job assignments! Once you join us, we'll start a pairing game. Every job seeker will pair up with the recruiter on their right, then leave here to sign an employment contract. The last person remaining will be the Job Hunting King.""\nYou're instantly fired up-Job Hunting King sounds awesome! You're determined to claim that title!\nCurrently, the 1-26 positions are arranged as follows:\nRecruiter, Job Seeker, Job Seeker, Recruiter, Job Seeker, Recruiter, Job Seeker, Job Seeker, Recruiter, Recruiter, Job Seeker, Recruiter, Recruiter, Job Seeker, Job Seeker, Recruiter, Job Seeker, Recruiter, Recruiter, Job Seeker, Job Seeker, Job Seeker, Job Seeker, Recruiter, Recruiter, Recruiter\nThese positions form a closed circle. (the position to the right of No.1 is No.2)\nQuestion: Which position(s) should you insert yourself into to fulfill your dream of becoming the Job Hunting King? List all correct answers.\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>","\boxed{1,17}",General365,text,general365
general365-134-3,"A caravan leader in a foreign city is looking for a guide and encounters three locals wearing different masks: Sun, Moon, and Star. Two of them are local partners, and one is a spy. The following is known: 1. Partner A tells the truth during high tide and lies during low tide; Partner B behaves oppositely. 2. The spy may tell the truth or lie at any time. The leader records the following dialogue after asking, ""Who among you is Partner A, and is it high tide or low tide?"" Sun mask says, ""I am Partner A or the Star mask is the spy."" Moon mask says, ""He is not Partner A."" Star mask says, ""I am not Partner A."" Please list all possible situations. (Answer in sequence using the format in quotation marks: ""Tide: high tide; Sun mask: A; Moon mask: B; Star mask: spy"")\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>",Situation 1:Tide: high tide; Sun mask: A; Moon mask: B; Star mask: spy.,General365,text,general365
general365-217-3,"Four people-John, Mary, Tom, and Anna-are seated around a coffee table. Two people sit on each side, and the two sides face each other. Each person has a different job (teacher, doctor, engineer, or lawyer) and is drinking a different beverage (coffee, tea, juice, or water).\n\nClues:\n1. The teacher sits to Mary's left.\n2. John is drinking coffee.\n3. The person drinking tea sits to the doctor's right.\n4. Anna sits opposite the engineer.\n5. The lawyer is drinking juice.\n\nDetermine each person's job and beverage.\nAnswer in the order John, Mary, Tom, Anna, using the format:\n""John: [job], [beverage]; Mary: [job], [beverage]; Tom: [job], [beverage]; Anna: [job], [beverage].""\n\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>","John: doctor, coffee; Mary: lawyer, juice; Tom: engineer, tea; Anna: teacher, water.",General365,text,general365
general365-44,"A terrifying giant dragon took the princess away, so the brave warrior embarked on a journey to rescue her. After traversing mountains, rivers, lakes, and seas, the warrior arrived at a stone wall. On it was written: ""Brave one, I admire your perseverance, but you cannot find me with just strength. If you can crack this code, I will return the princess to you. - The Demon King."" The warrior saw a series of numbers written on the stone wall:\n/ 3 5\n4 / 9\n2 /\n/ / 8\n/ / /\n/ 3\n\nThe warrior seemed to have no talent for deciphering codes and sat in front of the stone wall for a long time...\nOne day, an old man passed by. When he saw the numbers on the stone wall, he clapped his hands and exclaimed, ""Brilliant! Absolutely brilliant!"" The warrior hurried over to ask for help, and the old man told him the specific numbers did not matter and covered them with a few dots. Thus, the warrior cracked the code, obtained a word, and rescued the princess. So, how is this code solved?\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>",dragon,General365,text,general365
general365-210-9,"In Lily's family of five-Lily, her younger husband Ethan, their son and daughter, and Lily's older brother Daniel-a crime occurs. The victim and the murderer are among these five people.\nThe following facts are known:\n1. At the time of the crime, one man and one woman were drinking and chatting in a bar.\n2. At the time of the crime, the victim and the murderer met at a riverside fishing spot.\n3. At the time of the crime, one of the two children (the son or the daughter) was alone browsing the internet at an internet cafe.\n4. At the time of the crime, Lily and her husband Ethan were not together.\n5. The victim's full sibling is not the murderer.\n6. The murderer is younger than the victim.\n7. Ethan has no siblings.\nWho is the victim and who is the murderer?\n(Answer in the format: Victim: XX, Murderer: XX)\n\nOutput your final answer at the end of your reply using the following format:\n### The final answer is: <Your Answer>","Victim: Daniel, Murderer: Ethan",General365,text,general365
